epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4107,1.6076,6.23676,0.02807,0.00221,0.52667,0.00672,0.00374,0.99401,6.11412,0.02294,6.666e-05,6.666e-05,6.666e-05
2,18.0769,1.35345,6.14878,0.02181,0.00761,0.86667,0.04739,0.01944,0.84587,6.06078,0.01527,0.000143,0.000143,0.000143
3,19.7188,0.97828,5.53107,0.0136,0.00842,0.93333,0.1184,0.08687,0.48847,5.89347,0.00954,0.0002178,0.0002178,0.0002178
4,21.4102,0.96298,5.27464,0.01321,0.00431,1,0.39261,0.32307,0.60119,5.89806,0.01426,0.000291061,0.000291061,0.000291061
5,23.1925,0.88236,5.21165,0.01309,0.00379,0.96667,0.51839,0.40104,0.71309,5.89952,0.01676,0.000362781,0.000362781,0.000362781
6,24.8747,0.94644,4.59083,0.01195,0.00391,1,0.4784,0.40512,0.54037,5.48517,0.01336,0.000432962,0.000432962,0.000432962
7,26.5822,0.96844,4.1438,0.0128,0.00395,0.96667,0.53485,0.4393,0.6185,5.48607,0.01106,0.000501603,0.000501603,0.000501603
8,28.1274,0.9222,3.89308,0.01083,0.00411,0.96667,0.55503,0.40171,0.83556,5.53845,0.0128,0.000568704,0.000568704,0.000568704
9,29.6689,0.98146,3.92159,0.01192,0.00434,1,0.54815,0.43136,0.69308,5.06023,0.02032,0.000634265,0.000634265,0.000634265
10,31.2899,0.88506,3.60096,0.01182,0.56081,0.58,0.60123,0.51662,0.57632,4.70565,0.01244,0.000698287,0.000698287,0.000698287
11,32.8408,0.94959,3.57789,0.01216,0.87407,0.18155,0.66117,0.543,0.58947,4.51499,0.01147,0.000760768,0.000760768,0.000760768
12,34.3701,1.00052,3.3512,0.0118,0.98379,0.21756,0.78522,0.66335,0.64175,3.94356,0.01374,0.00082171,0.00082171,0.00082171
13,35.8844,0.93248,3.40143,0.01246,0.40417,0.90264,0.77149,0.63746,0.73618,3.75835,0.01894,0.000881112,0.000881112,0.000881112
14,37.4413,0.88259,3.25984,0.01114,0.88383,0.28635,0.71125,0.60747,0.70739,3.42209,0.0162,0.000938974,0.000938974,0.000938974
15,38.9632,0.9391,3.12953,0.01205,0.75802,0.53333,0.73751,0.6191,0.64753,2.90969,0.0135,0.000957015,0.000957015,0.000957015
16,40.6023,0.98877,3.05818,0.01375,0.57752,0.74317,0.81639,0.69993,0.61466,2.29613,0.01458,0.000946016,0.000946016,0.000946016
17,42.1322,1.01026,2.96668,0.01213,0.60325,0.81048,0.78257,0.5954,0.93207,2.05326,0.01638,0.000935018,0.000935018,0.000935018
18,43.6772,0.88499,2.74785,0.01154,0.54626,0.68727,0.7531,0.53918,1.00029,1.98992,0.01866,0.000924019,0.000924019,0.000924019
19,45.1809,0.98015,2.86386,0.0132,0.59106,0.76111,0.87397,0.66335,0.98808,1.65896,0.01815,0.00091302,0.00091302,0.00091302
20,46.7268,0.9024,2.65087,0.01265,0.68409,0.69674,0.83806,0.67211,0.80716,1.42513,0.0157,0.000902021,0.000902021,0.000902021
21,48.2624,0.84825,2.44567,0.01042,0.57411,0.71693,0.78944,0.63537,0.83604,1.47981,0.01742,0.000891022,0.000891022,0.000891022
22,50.1556,0.86369,2.21029,0.01077,0.70584,0.64216,0.81525,0.68985,0.69411,1.26723,0.01617,0.000880023,0.000880023,0.000880023
23,51.6365,0.81514,2.20816,0.01022,0.75688,0.75221,0.86708,0.69704,0.87378,1.07827,0.02024,0.000869024,0.000869024,0.000869024
24,53.1946,0.94314,2.187,0.01163,0.75434,0.737,0.82084,0.67357,0.85629,1.15884,0.01988,0.000858025,0.000858025,0.000858025
25,54.6836,0.88658,2.18567,0.01209,0.76732,0.62711,0.80518,0.69086,0.63484,1.25353,0.01148,0.000847026,0.000847026,0.000847026
26,56.2133,0.8669,2.01538,0.01109,0.56324,0.81333,0.82698,0.73424,0.58665,1.01867,0.01057,0.000836027,0.000836027,0.000836027
27,57.7266,0.85263,1.90773,0.01027,0.6502,0.78,0.84701,0.74015,0.63408,0.8087,0.01363,0.000825029,0.000825029,0.000825029
28,59.3265,0.89443,1.86399,0.01149,0.66617,0.80667,0.86787,0.69362,0.94721,0.98305,0.02064,0.00081403,0.00081403,0.00081403
29,60.8225,0.79789,1.73712,0.0099,0.75925,0.75899,0.90463,0.74414,0.79822,0.92651,0.01532,0.000803031,0.000803031,0.000803031
30,62.3647,0.80928,1.70279,0.00955,0.72071,0.79026,0.8821,0.70023,0.84517,0.93063,0.01682,0.000792032,0.000792032,0.000792032
31,63.8827,0.87708,1.63883,0.01058,0.77342,0.8543,0.89981,0.79746,0.53514,0.83523,0.01065,0.000781033,0.000781033,0.000781033
32,65.4185,0.87597,1.66744,0.0105,0.72314,0.80639,0.88749,0.70861,0.89321,0.94639,0.0211,0.000770034,0.000770034,0.000770034
33,67.0049,0.82313,1.58042,0.00977,0.69864,0.87984,0.94062,0.80284,0.65396,0.73966,0.0116,0.000759035,0.000759035,0.000759035
34,68.5441,0.84877,1.50926,0.01035,0.84731,0.77415,0.92267,0.79158,0.71761,0.65982,0.01261,0.000748036,0.000748036,0.000748036
35,70.0323,0.85914,1.54679,0.01031,0.79161,0.9043,0.88797,0.77891,0.59828,0.76252,0.0126,0.000737037,0.000737037,0.000737037
36,71.5594,0.81753,1.42028,0.01028,0.81235,0.9229,0.9422,0.81946,0.64834,0.56306,0.01565,0.000726038,0.000726038,0.000726038
37,73.0769,0.92164,1.54594,0.01166,0.76547,0.89581,0.92681,0.82187,0.58835,0.64059,0.01401,0.00071504,0.00071504,0.00071504
38,74.6135,0.71882,1.37665,0.00884,0.86422,0.78738,0.92262,0.80899,0.60434,0.75452,0.00933,0.000704041,0.000704041,0.000704041
39,76.0874,0.75428,1.37599,0.00997,0.96504,0.7118,0.9146,0.78537,0.66094,0.6959,0.01229,0.000693042,0.000693042,0.000693042
40,77.6813,0.79458,1.38101,0.01005,0.75017,0.90941,0.91828,0.77171,0.76368,0.68806,0.01759,0.000682043,0.000682043,0.000682043
41,79.1688,0.76471,1.20497,0.00949,0.88174,0.77663,0.89655,0.73611,0.8808,0.63876,0.01752,0.000671044,0.000671044,0.000671044
42,80.7292,0.91622,1.30232,0.01136,0.71413,0.92754,0.91679,0.76809,0.76521,0.52782,0.01277,0.000660045,0.000660045,0.000660045
43,82.2269,0.79076,1.21117,0.00966,0.71402,0.90207,0.91213,0.78558,0.67941,0.58618,0.01124,0.000649046,0.000649046,0.000649046
44,83.7513,0.78866,1.18065,0.00925,0.91179,0.88098,0.95856,0.85307,0.52953,0.52502,0.00932,0.000638047,0.000638047,0.000638047
45,85.2505,0.7577,1.16502,0.00939,0.91239,0.89829,0.95185,0.84359,0.57603,0.4932,0.01127,0.000627048,0.000627048,0.000627048
46,86.8446,0.73237,1.1284,0.00854,0.84981,0.8298,0.92138,0.79913,0.58146,0.65036,0.01178,0.000616049,0.000616049,0.000616049
47,88.3342,0.7604,1.1076,0.00905,0.81037,0.90695,0.95843,0.86396,0.5397,0.51567,0.01055,0.000605051,0.000605051,0.000605051
48,89.8724,0.75066,1.11405,0.00952,0.91601,0.867,0.93897,0.82093,0.61456,0.61049,0.00993,0.000594052,0.000594052,0.000594052
49,91.3719,0.81146,1.07053,0.00927,0.92016,0.88365,0.94449,0.81907,0.66054,0.5021,0.00986,0.000583053,0.000583053,0.000583053
50,92.9076,0.8042,1.03087,0.00892,0.78256,0.95558,0.96271,0.81685,0.69213,0.54803,0.01118,0.000572054,0.000572054,0.000572054
51,94.4622,0.82298,1.04205,0.00919,0.84682,0.81001,0.9085,0.78242,0.64104,0.66816,0.01039,0.000561055,0.000561055,0.000561055
52,95.9873,0.67442,0.96079,0.00777,0.80379,0.93166,0.94272,0.83997,0.54526,0.57234,0.00859,0.000550056,0.000550056,0.000550056
53,97.4663,0.70506,0.99675,0.00821,0.85942,0.91115,0.96224,0.87705,0.52779,0.43243,0.00918,0.000539057,0.000539057,0.000539057
54,99.0188,0.6358,0.93749,0.0074,0.8778,0.83257,0.92834,0.85972,0.44407,0.50558,0.00814,0.000528058,0.000528058,0.000528058
55,100.54,0.66664,0.9494,0.00766,0.80455,0.87504,0.9276,0.83481,0.52316,0.58945,0.00919,0.000517059,0.000517059,0.000517059
56,102.08,0.68653,0.94816,0.00808,0.9283,0.82207,0.94797,0.84782,0.53448,0.53037,0.00935,0.00050606,0.00050606,0.00050606
57,103.604,0.66766,0.93518,0.0084,0.94718,0.8399,0.95317,0.83768,0.55894,0.4991,0.011,0.000495062,0.000495062,0.000495062
58,105.211,0.67806,0.89727,0.00784,0.91719,0.83114,0.94162,0.85612,0.5397,0.46681,0.0086,0.000484063,0.000484063,0.000484063
59,106.71,0.75661,0.95788,0.00869,0.88204,0.80872,0.92744,0.84385,0.53368,0.4929,0.00875,0.000473064,0.000473064,0.000473064
60,108.246,0.66048,0.87388,0.00768,0.87976,0.85865,0.94157,0.84037,0.58291,0.46829,0.01016,0.000462065,0.000462065,0.000462065
61,110.026,0.72518,0.94868,0.00804,0.86453,0.92531,0.94496,0.83846,0.59089,0.454,0.01044,0.000451066,0.000451066,0.000451066
62,111.543,0.66457,0.85396,0.0081,0.88778,0.89792,0.93538,0.8282,0.57454,0.57133,0.00949,0.000440067,0.000440067,0.000440067
63,113.031,0.68868,0.87855,0.00791,0.93041,0.91571,0.94256,0.83674,0.59441,0.54028,0.01143,0.000429068,0.000429068,0.000429068
64,114.649,0.68617,0.83917,0.00811,0.88966,0.9,0.92834,0.83094,0.53016,0.40779,0.01104,0.000418069,0.000418069,0.000418069
65,116.235,0.69616,0.92368,0.00791,0.86119,0.88707,0.93369,0.85759,0.43894,0.532,0.00948,0.00040707,0.00040707,0.00040707
66,117.852,0.71187,0.82517,0.00856,0.96549,0.81721,0.92754,0.82849,0.55309,0.48087,0.01349,0.000396071,0.000396071,0.000396071
67,119.435,0.6949,0.95448,0.0082,0.83461,0.9,0.93691,0.80512,0.62257,0.42161,0.01118,0.000385073,0.000385073,0.000385073
68,121.058,0.65106,0.8156,0.00724,0.89351,0.91728,0.94014,0.8423,0.55409,0.37411,0.00962,0.000374074,0.000374074,0.000374074
69,122.607,0.71145,0.83561,0.00779,0.89855,0.86803,0.93369,0.85902,0.43078,0.49155,0.00768,0.000363075,0.000363075,0.000363075
70,124.247,0.72792,0.81765,0.00764,0.88653,0.90046,0.95395,0.87933,0.45803,0.34045,0.0083,0.000352076,0.000352076,0.000352076
71,125.82,0.62197,0.81707,0.00707,0.88814,0.90635,0.94544,0.86735,0.46664,0.31485,0.00713,0.000341077,0.000341077,0.000341077
72,127.359,0.65113,0.85299,0.00721,0.96509,0.86577,0.96362,0.86213,0.5244,0.42214,0.01313,0.000330078,0.000330078,0.000330078
73,128.898,0.64285,0.8143,0.00768,0.91316,0.88663,0.96186,0.90429,0.42839,0.42109,0.00777,0.000319079,0.000319079,0.000319079
74,130.529,0.62656,0.85127,0.00775,0.92342,0.89927,0.94979,0.86116,0.54122,0.45826,0.00949,0.00030808,0.00030808,0.00030808
75,132.154,0.62617,0.8539,0.00665,0.97107,0.86827,0.9453,0.85711,0.47664,0.37415,0.00832,0.000297081,0.000297081,0.000297081
76,133.772,0.67234,0.83196,0.00756,0.94806,0.88233,0.94554,0.85976,0.46479,0.37957,0.0092,0.000286083,0.000286083,0.000286083
77,135.347,0.57195,0.7755,0.00628,0.96119,0.85838,0.93945,0.84724,0.52062,0.39953,0.00924,0.000275084,0.000275084,0.000275084
78,136.947,0.68739,0.80015,0.00789,0.97202,0.84072,0.93805,0.82556,0.59881,0.41895,0.00956,0.000264085,0.000264085,0.000264085
79,138.496,0.71778,0.84149,0.00856,0.97393,0.84605,0.93346,0.84076,0.48509,0.37884,0.00929,0.000253086,0.000253086,0.000253086
80,140.05,0.63287,0.81454,0.00684,0.93749,0.88323,0.9364,0.83227,0.60032,0.39143,0.01254,0.000242087,0.000242087,0.000242087
81,141.693,0.67083,0.79879,0.00803,0.93932,0.87919,0.93635,0.84755,0.47174,0.37172,0.00964,0.000231088,0.000231088,0.000231088
82,143.273,0.57064,0.7595,0.00609,0.90778,0.91967,0.94574,0.84912,0.56129,0.38911,0.00968,0.000220089,0.000220089,0.000220089
83,144.771,0.64257,0.74965,0.00725,0.97203,0.86832,0.947,0.85691,0.50415,0.35978,0.00878,0.00020909,0.00020909,0.00020909
84,146.294,0.61156,0.84342,0.00657,0.94889,0.88278,0.94386,0.86006,0.46628,0.36562,0.00787,0.000198091,0.000198091,0.000198091
85,147.789,0.65024,0.79987,0.00713,0.9532,0.87914,0.93348,0.84265,0.51608,0.38153,0.00808,0.000187092,0.000187092,0.000187092
86,149.319,0.67073,0.86821,0.00786,0.96102,0.86768,0.93717,0.8674,0.42635,0.38656,0.00745,0.000176094,0.000176094,0.000176094
87,150.86,0.62143,0.83406,0.00707,0.96447,0.8794,0.9438,0.86574,0.47509,0.37487,0.00839,0.000165095,0.000165095,0.000165095
88,152.453,0.6107,0.80166,0.00669,0.94498,0.9025,0.94471,0.86832,0.46087,0.36609,0.00797,0.000154096,0.000154096,0.000154096
89,153.962,0.60178,0.70835,0.00638,0.96199,0.87731,0.93326,0.8617,0.43299,0.28191,0.00753,0.000143097,0.000143097,0.000143097
90,155.48,0.56355,0.71012,0.00622,0.96434,0.85849,0.93675,0.85055,0.48497,0.39584,0.0073,0.000132098,0.000132098,0.000132098
91,180.17,0.46753,0.7477,0.00948,0.95634,0.87088,0.93784,0.83458,0.53904,0.39376,0.00956,0.000121099,0.000121099,0.000121099
92,181.679,0.43453,0.73853,0.0079,0.96852,0.87548,0.93915,0.83601,0.56747,0.39919,0.01135,0.0001101,0.0001101,0.0001101
93,183.203,0.38742,0.73447,0.00713,0.97264,0.87123,0.93915,0.86403,0.48345,0.39414,0.00806,9.91012e-05,9.91012e-05,9.91012e-05
94,184.833,0.39489,0.729,0.00665,0.91826,0.89008,0.93247,0.85947,0.46835,0.42319,0.00807,8.81023e-05,8.81023e-05,8.81023e-05
95,186.375,0.42426,0.74515,0.00835,0.9197,0.88512,0.93247,0.86228,0.46786,0.4366,0.00824,7.71034e-05,7.71034e-05,7.71034e-05
96,187.996,0.39784,0.70841,0.00682,0.8759,0.88525,0.93283,0.85037,0.46467,0.42839,0.00779,6.61045e-05,6.61045e-05,6.61045e-05
97,189.516,0.38013,0.65543,0.00603,0.85479,0.91234,0.93254,0.84578,0.48294,0.43045,0.00807,5.51056e-05,5.51056e-05,5.51056e-05
98,191.031,0.37358,0.70584,0.00583,0.97008,0.82848,0.93254,0.84488,0.47928,0.42131,0.00754,4.41067e-05,4.41067e-05,4.41067e-05
99,192.54,0.39089,0.67403,0.00589,0.84564,0.92873,0.9275,0.84327,0.46638,0.41506,0.00738,3.31078e-05,3.31078e-05,3.31078e-05
100,194.18,0.35837,0.72009,0.00562,0.84903,0.92191,0.92798,0.84972,0.46094,0.41379,0.00752,2.21089e-05,2.21089e-05,2.21089e-05
